country,iso3,region,happiness,hle,loggdp,social,freedom,generosity,corruption,expected_happiness,gap,performer
Romania,ROU,Central and Eastern Europe,6.589,67.051,10.339,0.848,0.856,-0.172,0.929,5.8537,0.7353,Over-performer
Russia,RUS,Commonwealth of Independent States,5.661,64.947,10.21,0.889,0.719,-0.03,0.801,5.5414,0.1196,Over-performer
Saudi Arabia,SAU,Middle East and North Africa,6.463,64.399,10.715,0.884,0.894,-0.081,0.691,5.46,1.003,Over-performer
Senegal,SEN,Sub-Saharan Africa,4.855,59.999,8.155,0.629,0.772,0.011,0.846,4.8069,0.0481,Over-performer
Serbia,SRB,Central and Eastern Europe,6.144,67.088,9.854,0.873,0.845,0.204,0.816,5.8592,0.2848,Over-performer
Sierra Leone,SLE,Sub-Saharan Africa,3.138,54.9,7.394,0.555,0.66,0.105,0.858,4.0499,-0.9119,Under-performer
Singapore,SGP,Southeast Asia,6.587,73.8,11.571,0.878,0.878,0.063,0.146,6.8556,-0.2686,Under-performer
Slovakia,SVK,Central and Eastern Europe,6.469,68.838,10.353,0.953,0.753,-0.016,0.898,6.119,0.35,Over-performer
Slovenia,SVN,Central and Eastern Europe,6.65,71.052,10.588,0.951,0.913,0.014,0.771,6.4476,0.2024,Over-performer
South Africa,ZAF,Sub-Saharan Africa,5.275,56.989,9.478,0.907,0.73,-0.087,0.902,4.36,0.915,Over-performer
South Korea,KOR,East Asia,5.951,73.65,10.693,0.812,0.717,-0.046,0.701,6.8333,-0.8823,Under-performer
Spain,ESP,Western Europe,6.436,72.35,10.54,0.932,0.782,-0.066,0.711,6.6403,-0.2043,Under-performer
Sri Lanka,LKA,South Asia,4.442,67.15,9.491,0.826,0.787,-0.03,0.808,5.8684,-1.4264,Under-performer
Sweden,SWE,Western Europe,7.395,72.15,10.883,0.939,0.948,0.165,0.202,6.6106,0.7844,Over-performer
Switzerland,CHE,Western Europe,7.24,72.9,11.164,0.92,0.891,0.027,0.266,6.722,0.518,Over-performer
Taiwan Province of China,TWN,East Asia,6.535,69.6,10.797,0.884,0.804,-0.129,0.681,6.2321,0.3029,Over-performer
Tajikistan,TJK,Commonwealth of Independent States,5.33,62.226,8.237,0.836,0.832,-0.06,0.522,5.1375,0.1925,Over-performer
Tanzania,TZA,Sub-Saharan Africa,3.694,59.401,7.857,0.653,0.838,0.182,0.554,4.7181,-1.0241,Under-performer
Thailand,THA,Southeast Asia,5.843,68.45,9.751,0.874,0.85,0.289,0.91,6.0614,-0.2184,Under-performer
Togo,TGO,Sub-Saharan Africa,4.137,57.449,7.673,0.595,0.657,0.024,0.74,4.4283,-0.2913,Under-performer
Tunisia,TUN,Middle East and North Africa,4.497,67.0,9.244,0.73,0.576,-0.213,0.907,5.8461,-1.3491,Under-performer
Turkiye,TUR,Middle East and North Africa,4.614,68.663,10.307,0.796,0.475,-0.077,0.795,6.093,-1.479,Under-performer
Uganda,UGA,Sub-Saharan Africa,4.432,58.913,7.716,0.794,0.701,0.114,0.857,4.6457,-0.2137,Under-performer
Ukraine,UKR,Commonwealth of Independent States,5.071,64.55,9.314,0.878,0.795,0.24,0.907,5.4824,-0.4114,Under-performer
United Arab Emirates,ARE,Middle East and North Africa,6.571,66.243,11.145,0.826,0.942,0.096,0.584,5.7338,0.8372,Over-performer
United Kingdom,GBR,Western Europe,6.796,70.3,10.704,0.882,0.852,0.253,0.454,6.336,0.46,Over-performer
United States,USA,North America and ANZ,6.894,65.85,11.048,0.919,0.8,0.137,0.689,5.6754,1.2186,Over-performer
Uruguay,URY,Latin America and Caribbean,6.494,67.5,10.037,0.913,0.895,-0.065,0.575,5.9204,0.5736,Over-performer
Uzbekistan,UZB,Commonwealth of Independent States,6.014,65.301,8.948,0.875,0.938,0.23,0.638,5.5939,0.4201,Over-performer
Venezuela,VEN,Latin America and Caribbean,5.211,64.05,5.527,0.839,0.659,0.128,0.811,5.4082,-0.1972,Under-performer
Vietnam,VNM,Southeast Asia,5.763,65.502,9.287,0.821,0.939,-0.004,0.759,5.6238,0.1392,Over-performer
Zambia,ZMB,Sub-Saharan Africa,3.982,55.032,8.074,0.694,0.791,0.098,0.818,4.0695,-0.0875,Under-performer
Zimbabwe,ZWE,Sub-Saharan Africa,3.204,54.05,7.641,0.69,0.654,-0.046,0.766,3.9238,-0.7198,Under-performer
